poll_info,year,state,Obama,Romney,Undecided,Other,poll_id,pollster,start_date,end_date,sample_subpopulation,sample_size,mode,partisanship,partisan_affiliation,days_to_election,poll_key,Trump,Clinton,Johnson,McMullin
2012-maryland-president-romney-vs-obama,2012,maryland,55,36,8,1,15325,Gonzales Research,2012-09-17,2012-09-23,Likely Voters,813,Live Phone,Nonpartisan,None,44,2012_15325_maryland,NA,NA,NA,NA
2012-maryland-president-romney-vs-obama,2012,maryland,57,37,3,3,15229,YouGov,2012-09-07,2012-09-14,Likely Voters,686,Internet,Nonpartisan,None,53,2012_15229_maryland,NA,NA,NA,NA
2012-maryland-president-romney-vs-obama,2012,maryland,58,35,6,NA,13898,PPP (D)/Marylanders for Marriage Equality,2012-05-14,2012-05-21,Likely Voters,852,Live Phone,Sponsor,Dem,169,2012_13898_maryland,NA,NA,NA,NA
2012-oklahoma-president-romney-vs-obama,2012,oklahoma,33,58,8,NA,16203,SoonerPoll.com,2012-10-18,2012-10-24,Likely Voters,305,Live Phone,Nonpartisan,None,13,2012_16203_oklahoma,NA,NA,NA,NA
2012-oklahoma-president-romney-vs-obama,2012,oklahoma,29,58,13,NA,14703,SoonerPoll.com,2012-07-26,2012-08-14,Likely Voters,495,Live Phone,Nonpartisan,None,84,2012_14703_oklahoma,NA,NA,NA,NA
2012-oklahoma-president-romney-vs-obama,2012,oklahoma,27,62,11,NA,13856,SoonerPoll.com,2012-05-07,2012-05-10,Likely Voters,503,Live Phone,Nonpartisan,None,180,2012_13856_oklahoma,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,40,54,3,NA,16371,Mason-Dixon,2012-10-26,2012-10-28,Likely Voters,625,Live Phone,Nonpartisan,None,9,2012_16371_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,38,55,NA,NA,16325,Pharos Research Group,2012-10-26,2012-10-28,Likely Voters,752,Live Phone,Nonpartisan,None,9,2012_16325_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,39,49,NA,NA,16246,Pharos Research Group,2012-10-19,2012-10-21,Likely Voters,807,Live Phone,Nonpartisan,None,16,2012_16246_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,40,54,4,2,16060,Rasmussen,2012-10-17,2012-10-18,Likely Voters,600,Automated Phone,Nonpartisan,None,19,2012_16060_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,32,57,10,1,16064,Essman/Research,2012-10-12,2012-10-15,Likely Voters,500,Live Phone,Nonpartisan,None,22,2012_16064_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,40,54,5,NA,15618,Mason-Dixon,2012-10-03,2012-10-05,Likely Voters,625,Live Phone,Nonpartisan,None,32,2012_15618_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,39,51,NA,NA,15399,DFM Research (D-ND Dems/NPL),2012-09-24,2012-09-27,Likely Voters,600,Live Phone,Sponsor,Dem,40,2012_15399_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,35,54,NA,NA,14480,DFM Research (D-ND Dems/NPL),2012-07-24,2012-07-26,Likely Voters,400,Live Phone,Sponsor,Dem,103,2012_14480_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,36,51,7,6,14336,Rasmussen,2012-07-10,2012-07-11,Likely Voters,400,Automated Phone,Nonpartisan,None,118,2012_14336_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,39,52,NA,NA,14040,Mason-Dixon,2012-06-04,2012-06-06,Likely Voters,625,Live Phone,Nonpartisan,None,153,2012_14040_north-dakota,NA,NA,NA,NA
2012-north-dakota-president-romney-vs-obama,2012,north-dakota,32,51,NA,NA,13664,DFM Research (D-DSCC),2012-04-18,2012-04-26,Registered Voters,478,Live Phone,Sponsor,Dem,194,2012_13664_north-dakota,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,53,46,1,NA,16521,PPP (D),2012-11-01,2012-11-03,Likely Voters,932,Automated Phone,Pollster,Dem,3,2012_16521_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,54,40,2,NA,16583,YouGov,2012-10-31,2012-11-03,Likely Voters,837,Internet,Nonpartisan,None,3,2012_16583_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,54,40,NA,NA,16415,SurveyUSA,2012-10-28,2012-10-31,Likely Voters,555,Mixed,Nonpartisan,None,6,2012_16415_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,57,36,4,NA,16435,University of Washington/KCTS9,2012-10-18,2012-10-31,Likely Voters,632,Live Phone,Nonpartisan,None,6,2012_16435_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,52,39,5,NA,16051,Strategies 360 (D),2012-10-17,2012-10-20,Likely Voters,500,Live Phone,Nonpartisan,None,17,2012_16051_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,50,45,4,NA,15913,PPP (D-Washington Conservation Voters),2012-10-15,2012-10-16,Likely Voters,574,Automated Phone,Sponsor,Dem,21,2012_15913_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,52,43,3,NA,15936,University of Washington/KCTS9,2012-10-01,2012-10-16,Likely Voters,644,Live Phone,Nonpartisan,None,21,2012_15936_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,55,42,1,NA,15884,Rasmussen,2012-10-14,2012-10-14,Likely Voters,500,Automated Phone,Nonpartisan,None,23,2012_15884_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,54,40,3,NA,15834,SurveyUSA,2012-10-12,2012-10-14,Likely Voters,543,IVR/Online,Nonpartisan,None,23,2012_15834_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,56,39,3,NA,15847,YouGov,2012-10-04,2012-10-11,Likely Voters,747,Internet,Nonpartisan,None,26,2012_15847_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,56,36,3,NA,15506,SurveyUSA,2012-09-28,2012-09-30,Likely Voters,540,IVR/Online,Nonpartisan,None,37,2012_15506_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,52,41,4,NA,15412,Rasmussen,2012-09-26,2012-09-26,Likely Voters,500,Automated Phone,Nonpartisan,None,41,2012_15412_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,56,39,5,NA,15356,Gravis Marketing,2012-09-21,2012-09-22,Likely Voters,625,Automated Phone,Nonpartisan,None,45,2012_15356_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,53,39,3,NA,15212,YouGov,2012-09-07,2012-09-14,Likely Voters,880,Internet,Nonpartisan,None,53,2012_15212_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,53,36,NA,NA,15051,Elway,2012-09-09,2012-09-12,Registered Voters,405,Live Phone,Nonpartisan,None,55,2012_15051_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,54,38,4,NA,14955,SurveyUSA,2012-09-07,2012-09-09,Likely Voters,524,IVR/Online,Nonpartisan,None,58,2012_14955_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,46,36,17,NA,15428,Moore Information (R),2012-08-06,2012-08-07,Likely Voters,500,Live Phone,Pollster,Rep,91,2012_15428_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,54,37,5,NA,14569,SurveyUSA,2012-08-01,2012-08-02,Likely Voters,524,IVR/Online,Nonpartisan,None,96,2012_14569_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,46,37,NA,NA,14404,SurveyUSA,2012-07-16,2012-07-18,Registered Voters,630,IVR/Online,Nonpartisan,None,111,2012_14404_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,54,41,5,NA,14134,PPP (D),2012-06-14,2012-06-17,Likely Voters,1073,Automated Phone,Pollster,Dem,142,2012_14134_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,49,41,NA,NA,14123,Elway,2012-06-13,2012-06-16,Registered Voters,408,Live Phone,Nonpartisan,None,143,2012_14123_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,50,36,14,NA,13766,SurveyUSA,2012-05-08,2012-05-09,Registered Voters,557,IVR/Online,Nonpartisan,None,181,2012_13766_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,53,38,9,NA,13025,PPP (D),2012-02-16,2012-02-19,Likely Voters,1264,Automated Phone,Pollster,Dem,261,2012_13025_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,50,39,11,NA,13459,SurveyUSA,2012-02-13,2012-02-15,Registered Voters,572,IVR/Online,Nonpartisan,None,265,2012_13459_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,49,38,12,NA,13155,Elway,2012-02-07,2012-02-09,Likely Voters,405,Live Phone,Nonpartisan,None,271,2012_13155_washington,NA,NA,NA,NA
2012-washington-president-romney-vs-obama,2012,washington,50,39,11,NA,13154,SurveyUSA,2012-01-12,2012-01-16,Likely Voters,572,IVR/Online,Nonpartisan,None,295,2012_13154_washington,NA,NA,NA,NA
2012-vermont-president-romney-vs-obama,2012,vermont,62,25,7,1,14755,Castleton State College,2012-08-11,2012-08-21,Likely Voters,477,Automated Phone,Nonpartisan,None,77,2012_14755_vermont,NA,NA,NA,NA
2012-vermont-president-romney-vs-obama,2012,vermont,58,33,NA,6,13458,Castleton State College,2012-02-11,2012-02-22,Registered Voters,664,Automated Phone,Nonpartisan,None,258,2012_13458_vermont,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,38,57,2,3,16596,YouGov,2012-10-31,2012-11-03,Likely Voters,1563,Internet,Nonpartisan,None,3,2012_16596_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,39,55,NA,6,16331,YouGov/U of Texas/Texas Tribune,2012-10-15,2012-10-21,Likely Voters,540,Internet,Nonpartisan,None,16,2012_16331_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,41,55,2,2,15872,YouGov,2012-10-04,2012-10-11,Likely Voters,957,Internet,Nonpartisan,None,26,2012_15872_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,39,58,4,NA,15488,Texas Lyceum,2012-09-10,2012-09-26,Likely Voters,443,Live Phone,Nonpartisan,None,41,2012_15488_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,41,53,2,4,15231,YouGov,2012-09-07,2012-09-14,Likely Voters,1165,Internet,Nonpartisan,None,53,2012_15231_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,40,55,3,2,14990,Wilson Perkins Allen Opinion Research (R),2012-09-09,2012-09-11,Likely Voters,1000,Live Phone,Pollster,Rep,56,2012_14990_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,35,55,NA,NA,13863,YouGov/U of Texas/Texas Tribune,2012-05-07,2012-05-13,Likely Voters,511,Internet,Nonpartisan,None,177,2012_13863_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,43,50,7,NA,13603,PPP (D),2012-04-19,2012-04-22,Likely Voters,591,Automated Phone,Pollster,Dem,198,2012_13603_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,36,49,NA,NA,13457,U of Texas/Texas Tribune,2012-02-08,2012-02-15,Likely Voters,529,Internet,Nonpartisan,None,265,2012_13457_texas,NA,NA,NA,NA
2012-texas-president-romney-vs-obama,2012,texas,42,49,9,NA,12647,PPP (D),2012-01-12,2012-01-15,Likely Voters,700,Automated Phone,Pollster,Dem,296,2012_12647_texas,NA,NA,NA,NA
2012-tennessee-president-romney-vs-obama,2012,tennessee,42,53,3,2,16594,YouGov,2012-10-31,2012-11-03,Likely Voters,697,Internet,Nonpartisan,None,3,2012_16594_tennessee,NA,NA,NA,NA
2012-tennessee-president-romney-vs-obama,2012,tennessee,34,59,6,1,16330,MTSU,2012-10-16,2012-10-21,Likely Voters,609,Live Phone,Nonpartisan,None,16,2012_16330_tennessee,NA,NA,NA,NA
2012-tennessee-president-romney-vs-obama,2012,tennessee,43,52,4,2,15871,YouGov,2012-10-04,2012-10-11,Likely Voters,484,Internet,Nonpartisan,None,26,2012_15871_tennessee,NA,NA,NA,NA
2012-tennessee-president-romney-vs-obama,2012,tennessee,42,50,4,4,15226,YouGov,2012-09-07,2012-09-14,Likely Voters,694,Internet,Nonpartisan,None,53,2012_15226_tennessee,NA,NA,NA,NA
2012-tennessee-president-romney-vs-obama,2012,tennessee,40,47,NA,NA,13845,Vanderbit/PSRA,2012-05-02,2012-05-09,Registered Voters,826,Live Phone,Nonpartisan,None,181,2012_13845_tennessee,NA,NA,NA,NA
2012-tennessee-president-romney-vs-obama,2012,tennessee,41,47,NA,NA,13087,MTSU,2012-02-13,2012-02-25,Likely Voters,416,Live Phone,Nonpartisan,None,255,2012_13087_tennessee,NA,NA,NA,NA
2012-tennessee-president-romney-vs-obama,2012,tennessee,39,42,7,NA,13125,Vanderbit/PSRA,2012-02-16,2012-02-22,Registered Voters,1508,Live Phone,Nonpartisan,None,258,2012_13125_tennessee,NA,NA,NA,NA
2012-tennessee-president-romney-vs-obama,2012,tennessee,29,44,NA,NA,12578,MTSU,2011-10-03,2011-10-14,Adults,640,Live Phone,Nonpartisan,None,389,2012_12578_tennessee,NA,NA,NA,NA
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,41,53,6,NA,16663,Nielson Brothers,2012-10-31,2012-11-04,Likely Voters,617,Automated Phone,Nonpartisan,None,2,2012_16663_south-dakota,NA,NA,NA,NA
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,42,50,8,NA,16499,Nielson Brothers,2012-10-28,2012-10-31,Likely Voters,777,Automated Phone,Nonpartisan,None,6,2012_16499_south-dakota,NA,NA,NA,NA
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,41,52,7,NA,15753,Nielson Brothers,2012-10-01,2012-10-05,Likely Voters,749,Automated Phone,Nonpartisan,None,32,2012_15753_south-dakota,NA,NA,NA,NA
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,39,54,7,NA,15249,Nielson Brothers,2012-08-29,2012-09-06,Likely Voters,512,Automated Phone,Nonpartisan,None,61,2012_15249_south-dakota,NA,NA,NA,NA
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,43,49,8,NA,14558,Nielson Brothers,2012-07-19,2012-07-23,Registered Voters,546,Automated Phone,Nonpartisan,None,106,2012_14558_south-dakota,NA,NA,NA,NA
2012-south-dakota-president-romney-vs-obama,2012,south-dakota,35,44,21,NA,13456,Nielson Brothers,2012-02-15,2012-02-17,Registered Voters,559,Automated Phone,Nonpartisan,None,263,2012_13456_south-dakota,NA,NA,NA,NA
2012-south-carolina-president-romney-vs-obama,2012,south-carolina,40,46,NA,NA,12475,Ipsos/Reuters (Internet),2012-01-10,2012-01-13,Registered Voters,995,Internet,Nonpartisan,None,298,2012_12475_south-carolina,NA,NA,NA,NA
2012-south-carolina-president-romney-vs-obama,2012,south-carolina,45,42,13,NA,12565,Marist College,2011-12-04,2011-12-06,Likely Voters,2107,Live Phone,Nonpartisan,None,336,2012_12565_south-carolina,NA,NA,NA,NA
2012-south-carolina-president-romney-vs-obama,2012,south-carolina,40,46,14,NA,12566,Marist College,2011-10-11,2011-10-13,Likely Voters,2131,Live Phone,Nonpartisan,None,390,2012_12566_south-carolina,NA,NA,NA,NA
2012-oregon-president-romney-vs-obama,2012,oregon,52,46,3,NA,16491,PPP (D),2012-10-31,2012-11-01,Likely Voters,921,Automated Phone,Pollster,Dem,5,2012_16491_oregon,NA,NA,NA,NA
2012-oregon-president-romney-vs-obama,2012,oregon,47,41,9,NA,16315,Elway/Oregonian,2012-10-25,2012-10-28,Likely Voters,405,Live Phone,Nonpartisan,None,9,2012_16315_oregon,NA,NA,NA,NA
2012-oregon-president-romney-vs-obama,2012,oregon,47,42,12,NA,16329,Hoffman Research (R),2012-10-24,2012-10-25,Likely Voters,615,Live Phone,Pollster,Rep,12,2012_16329_oregon,NA,NA,NA,NA
2012-oregon-president-romney-vs-obama,2012,oregon,49,42,5,NA,15941,SurveyUSA,2012-10-16,2012-10-18,Likely Voters,579,IVR/Online,Nonpartisan,None,19,2012_15941_oregon,NA,NA,NA,NA
2012-oregon-president-romney-vs-obama,2012,oregon,50,41,5,NA,15097,SurveyUSA,2012-09-10,2012-09-13,Likely Voters,552,IVR/Online,Nonpartisan,None,54,2012_15097_oregon,NA,NA,NA,NA
2012-oregon-president-romney-vs-obama,2012,oregon,50,42,8,NA,14185,PPP (D),2012-06-21,2012-06-24,Likely Voters,686,Automated Phone,Pollster,Dem,135,2012_14185_oregon,NA,NA,NA,NA
2012-oregon-president-romney-vs-obama,2012,oregon,47,43,10,NA,13744,SurveyUSA,2012-05-07,2012-05-10,Registered Voters,1468,IVR/Online,Nonpartisan,None,180,2012_13744_oregon,NA,NA,NA,NA
2012-oregon-president-romney-vs-obama,2012,oregon,50,39,11,NA,13294,SurveyUSA,2012-03-14,2012-03-19,Likely Voters,1615,IVR/Online,Nonpartisan,None,232,2012_13294_oregon,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,59,36,3,2,16579,YouGov,2012-10-31,2012-11-03,Likely Voters,1430,Internet,Nonpartisan,None,3,2012_16579_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,62,33,2,4,16219,SurveyUSA,2012-10-23,2012-10-25,Likely Voters,554,IVR/Online,Nonpartisan,None,12,2012_16219_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,59,35,6,NA,16188,Siena,2012-10-22,2012-10-24,Likely Voters,750,Live Phone,Nonpartisan,None,13,2012_16188_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,61,35,3,1,16137,Marist,2012-10-18,2012-10-21,Likely Voters,565,Live Phone,Nonpartisan,None,16,2012_16137_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,59,35,4,2,15856,YouGov,2012-10-04,2012-10-11,Likely Voters,1403,Internet,Nonpartisan,None,26,2012_15856_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,58,36,4,2,15227,YouGov,2012-09-07,2012-09-14,Likely Voters,1403,Internet,Nonpartisan,None,53,2012_15227_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,62,34,2,1,14998,Quinnipiac,2012-09-04,2012-09-12,Likely Voters,1486,Live Phone,Nonpartisan,None,55,2012_14998_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,62,33,5,NA,14726,Siena,2012-08-14,2012-08-19,Likely Voters,671,Live Phone,Nonpartisan,None,79,2012_14726_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,55,32,10,2,14440,Quinnipiac,2012-07-17,2012-07-23,Registered Voters,1779,Live Phone,Nonpartisan,None,106,2012_14440_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,61,34,5,NA,14362,Siena,2012-07-10,2012-07-15,Registered Voters,758,Live Phone,Nonpartisan,None,114,2012_14362_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,59,35,6,NA,14068,Siena,2012-06-03,2012-06-06,Registered Voters,807,Live Phone,Nonpartisan,None,153,2012_14068_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,56,31,8,2,13968,Quinnipiac,2012-05-22,2012-05-28,Registered Voters,1504,Live Phone,Nonpartisan,None,162,2012_13968_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,57,37,6,NA,13797,Siena,2012-05-06,2012-05-10,Registered Voters,766,Live Phone,Nonpartisan,None,180,2012_13797_new-york,NA,NA,NA,NA
2012-new-york-president-romney-vs-obama,2012,new-york,57,35,8,NA,13554,Marist,2012-04-10,2012-04-12,Registered Voters,632,Live Phone,Nonpartisan,None,208,2012_13554_new-york,NA,NA,NA,NA
